date,num1,num2,num3,num4,num5,num6
2015-12-31,1,5,24,47,55,1
2015-12-28,7,11,16,23,24,2
2015-12-24,5,19,36,41,55,2
2015-12-21,9,27,33,40,49,3
2015-12-17,26,49,52,54,56,1
2015-12-14,46,50,56,57,58,1
2015-12-10,10,47,48,53,58,2
2015-12-07,3,5,36,40,44,2
2015-12-03,8,10,27,37,39,1
2015-11-30,4,7,8,19,53,4
2015-11-26,13,23,43,47,59,3
2015-11-23,4,21,42,43,59,4
2015-11-19,2,7,21,38,48,4
2015-11-16,6,20,28,34,40,3
2015-11-12,6,41,44,49,56,4
2015-11-09,6,9,11,27,37,3
2015-11-05,13,20,25,31,51,3
2015-11-02,1,7,12,34,44,1
2015-10-29,10,31,32,34,51,4
2015-10-26,17,20,45,49,58,2
2015-10-22,5,18,45,52,57,2
2015-10-19,4,8,31,46,54,3
2015-10-15,7,11,39,40,45,2
2015-10-12,28,30,36,38,39,4
2015-10-08,25,27,28,42,53,2
2015-10-05,8,20,34,41,43,3
2015-10-01,25,37,39,47,55,3
2015-09-28,1,25,29,43,54,2
2015-09-24,14,17,29,39,50,3
2015-09-21,17,27,39,44,49,1
2015-09-17,14,15,17,35,56,2
2015-09-14,3,7,14,19,25,2
2015-09-10,11,16,50,55,56,4
2015-09-07,4,21,26,45,46,4
2015-09-03,20,33,46,49,51,4
2015-08-31,12,15,44,45,47,1
2015-08-27,5,29,37,55,58,2
2015-08-24,2,19,35,37,44,3
2015-08-20,6,14,25,39,56,4
2015-08-17,5,19,21,24,27,3
2015-08-13,8,12,50,51,56,4
2015-08-10,2,7,11,33,47,2
2015-08-06,4,5,24,31,42,2
2015-08-03,25,29,30,38,39,3
2015-07-30,15,16,26,27,51,2
2015-07-27,3,5,36,43,53,3
2015-07-23,8,26,28,41,52,4
2015-07-20,10,29,47,48,55,4
2015-07-16,22,29,47,53,54,3
2015-07-13,5,23,27,55,57,1
2015-07-09,19,34,36,54,55,1
2015-07-06,3,10,30,33,40,1
2015-07-02,18,19,31,43,54,3
2015-06-29,1,19,37,49,56,3
2015-06-25,3,26,27,29,58,1
2015-06-22,5,26,27,51,59,2
2015-06-18,1,2,14,29,59,3
2015-06-15,10,14,16,32,34,3
2015-06-11,17,24,43,49,57,2
2015-06-08,33,39,43,49,52,3
2015-06-04,4,9,32,41,43,2
2015-06-01,7,10,23,37,56,3
2015-05-28,8,25,28,33,47,1
2015-05-25,15,40,48,59,60,1
2015-05-21,18,22,24,29,56,4
2015-05-18,16,30,35,38,51,1
2015-05-14,6,28,34,39,43,2
2015-05-11,7,8,14,18,52,1
2015-05-07,4,11,44,47,53,2
2015-05-04,3,5,21,30,60,4
2015-04-30,9,26,29,46,58,2
2015-04-27,13,14,29,46,47,1
2015-04-23,3,12,30,40,56,2
2015-04-20,35,36,37,53,56,4
2015-04-16,1,6,11,13,23,1
2015-04-13,7,17,26,34,60,4
2015-04-09,5,7,27,43,50,3
2016-12-29,11,16,19,29,34,1
2016-12-26,4,12,29,31,36,1
2016-12-22,14,19,32,38,43,3
2016-12-19,1,8,16,22,47,3
2016-12-15,5,7,21,44,57,2
2016-12-12,14,19,48,53,54,4
2016-12-08,8,28,29,49,57,3
2016-12-05,5,6,19,22,45,4
2016-12-01,17,23,30,49,55,1
2016-11-28,22,32,42,45,49,4
2016-11-24,4,24,25,32,46,1
2016-11-21,8,11,37,41,54,4
2016-11-17,6,30,32,35,48,1
2016-11-14,3,10,20,30,43,1
2016-11-10,6,7,17,20,44,2
2016-11-07,9,11,20,37,60,2
2016-11-03,5,10,29,37,59,4
2016-10-31,17,25,38,41,58,3
2016-10-27,15,16,19,37,40,4
2016-10-24,1,2,20,40,55,4
2016-10-20,6,38,40,48,57,2
2016-10-17,4,16,35,37,55,4
2016-10-13,3,19,21,26,43,3
2016-10-10,11,35,38,45,58,1
2016-10-06,5,7,9,12,43,2
2016-10-03,5,48,49,52,58,2
2016-09-29,13,25,39,51,55,3
2016-09-26,36,44,50,54,60,4
2016-09-22,1,3,24,42,59,1
2016-09-19,19,40,49,54,56,4
2016-09-15,11,20,54,59,60,2
2016-09-12,1,32,39,55,58,2
2016-09-08,3,7,22,37,60,2
2016-09-05,16,19,40,41,43,3
2016-09-01,17,45,46,51,53,2
2016-08-29,5,21,25,31,55,4
2016-08-25,10,17,24,47,59,2
2016-08-22,8,12,22,56,58,1
2016-08-18,7,24,25,56,58,3
2016-08-15,13,40,48,50,57,4
2016-08-11,3,34,44,53,55,4
2016-08-08,4,7,8,12,23,1
2016-08-04,8,22,41,54,56,1
2016-08-01,32,34,36,39,46,1
2016-07-28,13,19,32,36,41,2
2016-07-25,11,12,23,26,43,2
2016-07-21,1,4,18,29,32,1
2016-07-18,13,45,51,58,60,1
2016-07-14,3,8,11,24,25,2
2016-07-11,16,20,25,27,43,3
2016-07-07,4,8,26,41,55,3
2016-07-04,2,15,17,18,52,1
2016-06-30,4,9,10,31,34,3
2016-06-27,2,3,9,27,37,1
2016-06-23,1,9,36,38,46,1
2016-06-20,1,12,14,32,60,3
2016-06-16,3,17,22,57,59,2
2016-06-13,35,40,51,55,60,1
2016-06-09,1,4,12,33,41,2
2016-06-06,18,25,35,41,57,2
2016-06-02,18,28,30,31,37,2
2016-05-30,5,7,27,28,36,4
2016-05-26,4,13,26,34,43,3
2016-05-23,4,19,26,33,58,2
2016-05-19,10,18,37,40,57,4
2016-05-16,4,20,25,32,45,3
2016-05-12,4,13,15,16,32,4
2016-05-09,20,23,38,48,56,3
2016-05-05,17,18,30,43,49,4
2016-05-02,10,14,30,55,56,1
2016-04-28,4,14,22,47,58,3
2016-04-25,2,18,27,52,57,4
2016-04-21,6,12,20,40,53,4
2016-04-18,6,25,29,33,44,2
2016-04-14,24,25,48,55,56,2
2016-04-11,15,30,34,38,55,2
2016-04-07,2,11,32,50,54,2
2016-04-04,5,26,32,36,58,4
2016-03-31,9,17,28,38,45,1
2016-03-28,20,33,49,53,56,4
2016-03-24,17,24,30,45,48,3
2016-03-21,13,30,41,50,55,1
2016-03-17,11,16,34,44,56,1
2016-03-14,17,28,37,38,41,1
2016-03-10,6,12,21,40,57,1
2016-03-07,9,21,24,37,38,2
2016-03-03,7,13,35,40,45,4
2016-02-29,3,17,26,47,58,1
2016-02-25,2,16,19,33,39,3
2016-02-22,8,9,10,11,27,4
2016-02-18,21,24,37,38,49,4
2016-02-15,2,9,30,37,42,2
2016-02-11,6,31,35,40,55,2
2016-02-08,13,23,48,57,59,2
2016-02-04,8,12,23,40,54,1
2016-02-01,2,9,22,43,44,1
2016-01-28,4,5,15,25,59,2
2016-01-25,19,24,38,55,56,4
2016-01-21,11,13,36,46,48,4
2016-01-18,14,17,39,43,51,3
2016-01-14,23,27,29,36,60,4
2016-01-11,4,20,30,34,36,2
2016-01-07,14,31,37,54,56,1
2016-01-04,8,19,25,51,52,3
2017-12-28,9,14,24,41,46,2
2017-12-25,2,18,34,42,57,3
2017-12-21,1,9,25,37,60,1
2017-12-18,8,9,12,21,45,1
2017-12-14,7,24,32,44,52,3
2017-12-11,2,16,30,40,53,3
2017-12-07,2,5,39,54,56,3
2017-12-04,16,17,46,51,52,1
2017-11-30,2,5,18,23,59,1
2017-11-27,25,27,42,50,57,1
2017-11-23,4,33,56,58,59,4
2017-11-20,3,4,22,38,59,3
2017-11-16,15,16,19,42,52,3
2017-11-13,9,17,21,29,58,3
2017-11-09,3,12,30,39,60,1
2017-11-06,4,10,22,24,42,2
2017-11-02,14,43,55,57,60,4
2017-10-30,6,22,23,36,42,2
2017-10-26,3,12,17,27,55,2
2017-10-23,16,31,34,41,57,4
2017-10-19,15,16,39,41,46,2
2017-10-16,3,11,32,49,55,4
2017-10-12,12,33,41,45,60,2
2017-10-09,18,20,38,42,44,4
2017-10-05,12,14,31,38,41,2
2017-10-02,10,35,38,48,57,4
2017-09-28,16,31,34,50,60,3
2017-09-25,7,26,53,55,56,3
2017-09-21,4,16,18,32,47,2
2017-09-18,4,21,26,35,42,2
2017-09-14,5,12,13,41,44,4
2017-09-11,26,34,42,48,57,1
2017-09-07,2,5,7,55,57,3
2017-09-04,2,11,20,36,46,1
2017-08-31,30,34,36,56,59,1
2017-08-28,4,9,20,42,46,2
2017-08-24,2,4,32,57,60,3
2017-08-21,7,8,12,35,39,4
2017-08-17,11,15,21,23,58,3
2017-08-14,8,20,31,36,39,2
2017-08-10,4,5,28,33,42,4
2017-08-07,6,20,25,32,50,2
2017-08-03,9,12,19,29,34,2
2017-07-31,7,9,47,54,60,3
2017-07-27,32,37,38,42,43,2
2017-07-24,7,20,21,41,59,1
2017-07-20,26,37,40,42,50,1
2017-07-17,8,17,27,28,39,2
2017-07-13,6,17,32,45,59,3
2017-07-10,13,19,34,38,53,1
2017-07-06,4,9,39,44,52,2
2017-07-03,4,28,40,41,48,3
2017-06-29,7,8,13,18,48,2
2017-06-26,8,33,39,40,49,2
